,In-House,In-House,In-House,In-House,Scikit-Learn,Scikit-Learn,Scikit-Learn,Scikit-Learn,TensorFlow,TensorFlow,TensorFlow,TensorFlow
,TGT0,TGT1,TGT2,TGT3,TGT0,TGT1,TGT2,TGT3,TGT0,TGT1,TGT2,TGT3
Value00,20.905332488255258,41.55251298771679,50.18214408006151,82.00515883068768,20.9053324882553,41.55251298771677,50.1821440800615,82.00515883068762,20.904983520507812,41.55194854736328,50.18170928955078,82.00415802001953
Value01,88.15811320836104,45.44959001229479,62.03489087437276,69.43420019362233,88.15811320836104,45.449590012294784,62.034890874372785,69.43420019362237,88.15734100341797,45.449180603027344,62.034385681152344,69.43338775634766
Value02,13.217731967332707,43.906325247635436,69.67326042186455,63.395746177076084,13.217731967332634,43.90632524763543,69.67326042186455,63.39574617707603,13.217596054077148,43.905906677246094,69.6724624633789,63.395286560058594
Value03,9.643977349574035,40.14146040136566,52.25649883333058,73.24341031234904,9.643977349574094,40.141460401365705,52.25649883333057,73.24341031234913,9.644102096557617,40.14188003540039,52.25652313232422,73.24420928955078
Value04,8.246294638422778,33.61418632857154,5.062020359920087,14.806816657268065,8.246294638422754,33.61418632857151,5.0620203599200835,14.806816657268033,8.246092796325684,33.613712310791016,5.06189489364624,14.80662727355957
Value05,75.14457670188597,36.34581561112698,5.58540234708945,81.5832358691632,75.14457670188595,36.34581561112692,5.585402347089399,81.58323586916318,75.14369201660156,36.34529495239258,5.5853095054626465,81.58235168457031
Value06,77.77110794494993,50.22660601086479,31.07114820443484,13.283668005080342,77.77110794494989,50.22660601086475,31.071148204434774,13.283668005080287,77.7702865600586,50.22620391845703,31.0709228515625,13.283563613891602
Value07,65.36556017338238,46.03236856883982,98.18304100881657,67.69896645071402,65.36556017338226,46.03236856883982,98.18304100881652,67.69896645071391,65.36589050292969,46.03279495239258,98.1823501586914,67.69979858398438
Value08,13.210945324180758,35.044600090409936,53.4774493315042,79.02373336920502,13.210945324180791,35.04460009041,53.47744933150421,79.023733369205,13.211050987243652,35.044246673583984,53.47703170776367,79.02291107177734
Value09,74.46889295747927,82.57382667461636,49.184077879582375,43.22778904157578,74.46889295747924,82.5738266746164,49.184077879582404,43.22778904157575,74.46797943115234,82.57288360595703,49.18363952636719,43.22719955444336
Bias,100.10434707766302,100.01910813114971,100.0962131093797,99.80173781528578,100.10434707766301,100.01910813114968,100.09621310937966,99.80173781528575,100.10345458984375,100.01828002929688,100.09541320800781,99.80091857910156
